Subject,Group,count,Feel1,Feel2,Feel3,Flch_2_1,Flch_3_1,Content_pos1,Content_pos2,Content_pos3,Conch_2_1,Conch_3_1,ConSim_2_1,ConSim_3_1,r1_total_details,r2_orig_perc,r2_elab_perc,r2_newpos_perc,r2_newneg_perc,r3_orig_perc,r3_elab_perc,r3_newpos_perc,r3_newneg_perc,date
589,Positive,9,1.555555556,4,2.888888889,2.444444444,1.333333333,3.222222222,3.555555556,3.666666667,0.333333333,0.444444444,3.888888889,4.222222222,4.111111111,0.600108225,0.111111111,0.266594517,0.105519481,0.557363316,0.166666667,0.290079365,0.112433862,4.111111111
591,Positive,10,5.1,5.6,5.8,0.5,0.7,3.45,3.9,3.65,0.45,0.2,3.55,3.35,5.1,0.867261905,0.1,0.066071429,0.041666667,0.816585082,0.1,0.080586636,0.082828283,4.1
598,Control,10,5.1,4.9,5.5,-0.2,0.4,3.65,3.75,3.6,0.1,-0.05,1.9,2.6,4.4,0.945277778,0,0.0225,0.032222222,0.921031746,0,0.026785714,0.05218254,4.2
600,Control,10,5.8,5.2,5.9,-0.6,0.1,3.55,3.45,3.85,-0.1,0.3,2.65,3,4.7,0.76499112,0,0.115389333,0.119619547,0.806637807,0,0.122997835,0.070364358,4.5
603,Positive,10,3.1,3.1,4.6,0,1.5,3.8,4.55,4.9,0.75,1.1,2.7,3.3,4.4,0.766017316,0.05,0.096085859,0.025396825,0.763888889,0.1,0.033611111,0.0775,4
604,Control,10,5,4.4,5.2,-0.6,0.2,3.1,3.9,4.2,0.8,1.1,3.2,4.15,4.2,0.701269841,0.2,0.0725,0.177222222,0.771507937,0,0.111230159,0.117261905,5
606,Control,10,4.4,4.6,5,0.2,0.6,3.85,3.75,3.6,-0.1,-0.25,2.7,3.45,4.5,0.82034632,0,0.046753247,0.132900433,0.814285714,0,0.110357143,0.075357143,3.5
607,Positive,8,5.625,6.875,6,1.25,0.375,3.625,3.875,4.3125,0.25,0.6875,3.4375,4.5625,4.857142857,0.653617811,0,0.220531849,0.12585034,0.598473748,0,0.265750916,0.135775336,2.625
608,Control,10,4.2,4.4,4.7,0.2,0.5,3,3.7,3.7,0.7,0.7,3.45,3.6,4.05,0.724761905,0,0.108888889,0.166349206,0.804087302,0.1,0.064722222,0.111190476,4.1
609,Positive,10,4.5,5.2,5.1,0.7,0.6,3.9,4.65,4.95,0.75,1.05,3.75,4.2,4.85,0.791160784,0.6,0.038571429,0.05218254,0.672158952,0.4,0.133717949,0.108738484,3
610,Control,10,4.5,4.3,5.8,-0.2,1.3,4,3.9,4.25,-0.1,0.25,3.1,3.7,3.55,0.655609668,0,0.182395382,0.161994949,0.760970418,0,0.149819625,0.089209957,3.6
612,Control,10,1.2,2,2.5,0.8,1.3,3.35,3.4,3.75,0.05,0.4,2.8,4.35,3.722222222,0.750861793,0,0.086339586,0.162798621,0.664814815,0,0.087962963,0.247222222,4
613,Positive,10,2.5,3.7,4.7,1.2,2.2,3.15,3.45,3.35,0.3,0.2,3.95,4.45,3.333333333,0.541666667,0,0.220679012,0.237654321,0.554100529,0.055555556,0.197354497,0.237433862,2.4
614,Positive,9,4.555555556,6,6.111111111,1.444444444,1.555555556,3.444444444,3.777777778,4.666666667,0.333333333,1.222222222,3.444444444,4.5,5.333333333,0.650933943,0.277777778,0.114919032,0.176066218,0.501120947,0.5,0.263039276,0.145811287,4.555555556
615,Positive,10,4.1,5,5.4,0.9,1.3,4.15,4.35,4.5,0.2,0.35,3.4,3.7,6.111111111,0.546601547,0.277777778,0.289272148,0.11165717,0.578395062,0.277777778,0.245773979,0.117188984,3.6
616,Positive,10,5.3,5.8,5.9,0.5,0.6,4.15,4.15,4.3,0,0.15,2.95,3.7,3.9,0.623733489,0.2,0.188158508,0.143108003,0.648322511,0.15,0.183661616,0.128730159,3.9
623,Control,9,4.222222222,3.888888889,5,-0.333333333,0.777777778,3.888888889,4.333333333,4.111111111,0.444444444,0.222222222,2.666666667,3.388888889,5.222222222,0.821733205,0,0.146520763,0.031746032,0.868253968,0,0.081481481,0.05026455,3.555555556
626,Positive,10,1.4,1.3,2.3,-0.1,0.9,3.3,3.4,3.6,0.1,0.3,2.65,3.7,6.5,0.762647287,0.15,0.043932538,0.17256456,0.62493895,0.2,0.112778888,0.231762682,5.9
